pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2,pl_density,pl_rade,pl_bmasse,mu,H,delta,snr
Kepler-343,c,2014,291.96068399999996,42.433006,0.0001673184458486824,2454984.0664,0.0052899999999999996,-0.0052899999999999996,1,0.1128,2,0,1,Kepler,90.0,,,,1.306,,,1.43,0.26,-0.26,5807.0,100.0,-100.0,14.128,13.039000000000001,12.722000000000001,0.167,,,0.18,0.034,-0.034,0.0149,,,819.3980140197413,23.22182,0.000234,-0.000234,,,,3.1684498418503795,2.0176165315689625,4.735643258260654,2.0,296.6835446609684,4.079848928151107e-05,0.023178838790043912
Kepler-344,b,2014,292.49964500000004,46.324406,0.0005969398571726843,2454966.03648,0.0028699999999999997,-0.0028699999999999997,1,0.1115,2,0,1,Kepler,90.0,,,,0.9787878787878788,,,0.98,0.45,-0.45,5774.0,200.0,-200.0,15.378,14.082,13.709000000000001,0.153,,,0.233,0.109,-0.109,0.023,,,704.6563984906677,21.963945,0.000108,-0.000108,,,,2.254956436982235,2.6116925103087127,7.31005335167752,2.0,276.9499022416132,0.00010337244927581426,0.03696602731022286
Kepler-344,c,2014,292.49964500000004,46.324406,0.0007605543108323493,2455048.44167,0.0054600000000000004,-0.0054600000000000004,1,0.3139,2,0,1,Kepler,90.0,,,,0.9787878787878788,,,0.98,0.45,-0.45,5774.0,200.0,-200.0,15.378,14.082,13.709000000000001,0.488,,,0.263,0.12300000000000001,-0.12300000000000001,0.0283,,,394.5601356384024,125.596809,0.001728,-0.001728,,,,1.9292889343650337,2.9479619322368733,8.994543906629296,2.0,160.5750537327147,6.633914239925656e-05,0.025090758388179375
Kepler-345,b,2014,295.22880200000003,45.97102,0.00011966726870109968,2454970.81508,0.00409,-0.00409,1,0.0821,2,0,1,Kepler,90.0,,,,0.6398507462686567,,,0.62,0.03,-0.03,4504.0,100.0,-100.0,14.027999999999999,12.309000000000001,11.665,0.066,,,0.066,0.005,-0.005,0.00157,0.0009400000000000001,-0.0009400000000000001,665.664745353594,7.415563,5.4e-05,-5.4e-05,,,,6.772451898004608,0.739792728241953,0.4989905983536394,32.0,19.22045228406381,4.924225379598186e-06,0.003853400219107415
Kepler-410 A,b,2013,283.150698,45.139832,0.0003708893749264401,,,,1,0.19183356895192638,1,0,1,Kepler,87.72,0.13,-0.15,,1.21,0.03,-0.03,1.35,0.01,-0.01,6273.0,140.0,-140.0,9.5,8.417,8.191,0.1226,0.0047,-0.0047,0.253,0.005,-0.005,0.0265,,,1003.7608078555639,17.833648,5.4e-05,-5.4e-05,0.17,0.1,-0.05,2.029375410053946,2.8358721249274863,8.42245277475888,2.0,403.7060085546976,8.740030094991566e-05,0.12898578935744756
Kepler-411,b,2013,287.60558199999997,49.523262,0.069,2454970.1027,,,1,0.0917,2,0,1,Kepler,88.27,1.73,-1.83,0.0,0.83,0.04,-0.1,0.79,0.07,-0.06,4974.0,46.0,-51.0,12.231,10.640999999999998,10.161,0.038,0.001,-0.001,0.168,0.018000000000000002,-0.018000000000000002,0.0132,,,1040.0,3.00516,1e-05,-1e-05,0.0,0.35,0.0,3.452424336549651,1.8831087627976986,4.195334967049707,2.0,370.26936551403276,0.00015857351703637532,0.19957596930385282
Kepler-412,b,2014,286.110327,43.680958000000004,0.011411665202849081,2454966.02122,2e-05,-2e-05,1,0.08806736765619888,1,0,1,Kepler,80.559,0.084,-0.079,,1.17,0.09,-0.09,1.29,0.04,-0.04,5750.0,90.0,-90.0,13.73,13.19,12.932,0.02897,0.00093,-0.0009199999999999999,1.341,0.044000000000000004,-0.046,0.941,0.125,-0.019,1850.0,1.7208604,3e-07,-3e-07,0.0038,0.0087,-0.0032,0.4839286932403781,15.03124316018877,299.07653060558897,2.0,588.6802572953563,0.0007114729901363855,0.3212989461577107
Kepler-413,b,2014,288.51062,51.162471999999994,0.002613034432041434,2455096.64,0.16,-0.17,1,0.2248305189060916,1,0,1,Kepler,89.929,0.024,-0.016,94.6,0.82,0.01,-0.01,0.78,0.01,-0.01,4700.0,,,15.52,13.987,13.505,0.3553,0.002,-0.0018,0.38799999999999996,0.009000000000000001,-0.009000000000000001,0.211,0.069,-0.066,335.8001249181732,66.262,0.024,-0.021,0.1181,0.0018,-0.0017,4.479869487422653,4.3490845236042075,67.06179379147638,2.0,39.89345585291547,3.7715190072065957e-05,0.015669683923079936
Kepler-414,b,2014,297.961566,48.244362,0.0002739091484368851,,,,1,0.027647696062767988,2,0,1,Kepler,90.0,,,,0.89,,,0.95,,,,,,13.338,12.087,11.75,0.24303162260260644,,,0.153,0.027999999999999997,-0.012,0.011,0.011,-0.009,,4.7,,,,,,3.808872858651043,1.714974051833618,3.4961124725414225,2.0,,,
Kepler-414,c,2014,297.961566,48.244362,0.0008466974193703891,,,,1,0.0322208654656531,2,0,1,Kepler,90.0,,,,0.89,,,0.95,,,,,,13.338,12.087,11.75,0.32209503438150056,,,0.26899999999999996,0.048,-0.022000000000000002,0.094,0.039,-0.033,,7.171,,,,,,5.98892806838996,3.0152158166225047,29.87587021989943,32.0,,,
